URL (For Author or Uniform title) or URI,LC # / VIAF URI,LC NAME/TITLE or VIAF AUTHOR NAME,OLD AUTHOR NAME,LS AUTHOR NAME,PHI AUTHOR NAME,OLD AUTHOR NAME ABBREVIATION,LS AUTHOR NAME ABBREVIATION,A&G AUTHOR NAME ABBREVIATION,WORK TITLE,OLD ABBREVIATED TITLE,LS ABBREVIATED TITLE,A&G ABBREVIATED TITLE,OLD STANDARD EDITION,WE OWN?,TLL Standard Edition,WE OWN?,LS STANDARD EDITION,WE OWN?,PHI#,STOA#,PERSEUS HAS THIS WORK,Other identifier,NOTE,URL
"http://errol.oclc.org/laf/n84-208759.html, http://errol.oclc.org/laf/n90-704191.html","n84-208759, n90-704191 (for Aetna)",Appendix Vergiliana. Aetna,none,Auctor Aetnae (perh. Lucilius Junior),Appendix Vergiliana,none,Auct. Aetn.,none,Aetna,Aetna 646 ,"Aetn., Lucil. Aetn.",none,Poetae Latini Minores Vollmer T 1930 ,no-not in public domain,Munro 1867,no,Rib. (Vergil Opera),n.a.,692.4,stoa0297-stoa001,yes,,,
http://errol.oclc.org/laf/n00-24409.html,n00-24409,"Afranius, Lucius",L. Afranius ,Lucius Afranius,L. Afranius,AFRAN.,Afran.,none,Togatae,AFRAN. com. 432 ,none,none,"Ribbeck T 1898  (Scaenicae Romanorum poesis fragmenta, Vol II)",yes,same as OLD,yes,Rib.,yes-we have scanned,404.1,none,yes,,,
http://errol.oclc.org/laf/n00-65329.html,n00-65329,"Africanus, Sextus Caecilius, 2nd cent.",Sex. Caecilius Africanus,none,none,AFRIC.,none,none,Quaestiones,AFRIC. dig. 50. 16. 208 ,none,none,"Mommsen-Krueger Berlin 1922 (Corpus iuris civilis, Vol I (Digesta Iustiniani in OLD))",no-need to obtain (have older version),,,none,n.a.,2806.2,stoa0066-stoa001,yes,,Caecilius africanus in STOA,
" http://viaf.org/viaf/42229983
",42229983,"Agennius, Urbicus 4./5. Jh. n. Chr",Agennius Vrbicus,Agennus Urbicus,none,AGEN.,Aggen.,none,De Controversis Agrorum,AGEN. agrim. p. 51 ,Aggen. ,none,Thulin T 1913 (Corpus Agrimensorum),yes-IA has scanned,Lachmann 1848,yes,"Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674",no-need to obtain,none,stoa0012a-stoa001 ,yes,,Created a STOA identifier for this author/work,
" http://viaf.org/viaf/42229983
",42229983,"Agennius, Urbicus 4./5. Jh. n. Chr",Agennius Vrbicus,Agennus Urbicus,none,AGEN.,Aggen.,none,In Julius Frontinus Commentariorum De agrorum qualitate,none,Aggen. ap. Comm. in Frontin.,none,Thulin T 1913 (Corpus Agrimensorum),yes-IA has scanned,Lachmann 1848,yes,"Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674",no-need to obtain,none,stoa0012a-stoa002,yes,,Created a STOA identifier for this author/work,
" http://viaf.org/viaf/42229983
",42229983,"Agennius, Urbicus 4./5. Jh. n. Chr",Agennius Vrbicus,Agennus Urbicus,none,AGEN.,Aggen.,none,In Julius Frontinus Commentariorum De controversiis agrorum,none,Aggen. ap. Comm. in Frontin.,none,Thulin T 1913 (Corpus Agrimensorum),yes-IA has scanned,Lachmann 1848,yes,"Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674",no-need to obtain,none,stoa0012a-stoa003,yes,,Created a STOA identifier for this author/work,
http://viaf.org/viaf/29688624,29688624,"Agnellus, of Ravenna, Abbot, active 9th century",none,none,none,none,none,none,Liber pontificalis,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0013-stoa001,no,,,
http://viaf.org/viaf/29688624,29688624,"Agnellus, of Ravenna, Abbot, active 9th century",none,none,none,none,none,none,Ad Armenium Epistola 'De Ratione Fidei',none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0013-stoa002,yes,,,
http://viaf.org/viaf/6352894,6352894,"Agrippa, Marcus Vipsanius",none,none,none,none,none,none,De Vita Sua,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0013a-stoa001,yes,,,
http://viaf.org/viaf/87873347,87873347,Agrippina Minor 15-59,none,none,none,none,none,none,Fragmenta,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0013b-stoa001,yes,,,
http://errol.oclc.org/laf/n81-88795.html,n81-88795,"Agroecius, Bishop of Sens, 5th cent.",none,none(not in list),none,none,Agroet.,none,De Orthographia,none,Agroet. / Agroet. Othogr. ,none,none,n.a.,Keil (Grammatici Latini),yes," Keil (Grammatici Latini), Putschius (Grammaticae Latinae-1605)",yes-Google has scanned,none,stoa0013c-stoa001 ,yes,,Created a STOA identifier for this author/work,
